Book Id,Title,Author,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,genres
6856,Manhunt,Janet Evanovich,3.7,0060598824,9780060598822,eng,219,12152,449,11/29/2005,HarperTorch,"Romance;Womens Fiction,Chick Lit;Romance,Contemporary Romance;Fiction;Humor;Contemporary;Mystery;Humor,Comedy;Adult Fiction;Audiobook"
44399,Too Busy Not to Pray: Slowing Down to Be With God,Bill Hybels/Lavonne Neff,4.16,0830819711,9780830819713,en-US,191,9632,212,4/1/1998,InterVarsity Press,"Christian;Prayer;Nonfiction;Religion,Christianity;Christian,Christian Living;Religion,Faith;Religion;Spirituality;Religion,Theology;Christian,Christian Non Fiction"
12623,Perilous Power: The Middle East & US Foreign Policy,Noam Chomsky/Gilbert Achcar/Stephan R. Shalom,4.05,1594513120,9781594513121,en-GB,242,270,16,9/15/2006,Routledge,"Politics;Nonfiction;History;Political Science,International Relations;Philosophy;Military,Military History;Writing,Essays;Science;War"
29124,Mistress Masham's Repose,T.H. White/Fritz Eichenberg,3.93,1590171039,9781590171035,en-US,260,1476,124,3/7/2012,New York Review Children's Collection,"Fantasy;Fiction;Classics;Childrens;Young Adult;Childrens,Middle Grade;European Literature,British Literature;Childrens,Juvenile;Childrens,Childrens Classics;Childrens,Young Readers"
12263,The Gray-Eyed Goddess (Tales from the Odyssey  #4),Mary Pope Osborne/Troy Howell/Homer,4.09,0786809310,9780786809318,en-US,128,316,22,9/30/2003,Little  Brown Books for Young Readers,"Fantasy,Mythology;Childrens;Fantasy;Classics;Childrens,Chapter Books;Academic,Read For School;Cultural,Greece;Mythology,Greek Mythology;Childrens,Juvenile;Childrens,Middle Grade"
27054,Red Message,Peter Abrahams,3.12,0380898039,9780380898039,eng,320,8,2,4/1/1986,Avon Books,
26097,Slowness,Milan Kundera/Linda Asher,3.66,0060928417,9780060928414,eng,156,9760,402,4/11/1997,Harper Perennial,"Fiction;Novels;Literature;European Literature,Czech Literature;Philosophy;Cultural,France;Contemporary;Classics;Literature,20th Century;Roman"
45343,The Nixie's Song (Beyond the Spiderwick Chronicles  #1),Tony DiTerlizzi/Holly Black,3.73,0689871317,9780689871313,eng,162,9927,416,9/18/2007,Simon  Schuster Books for Young Readers,"Fantasy;Childrens;Childrens,Middle Grade;Fiction;Young Adult;Adventure;Fantasy,Magic;Childrens,Juvenile;Fantasy,Urban Fantasy;Paranormal,Fairies"
2107,Falconry & Hawking,Phillip Glasier,4.31,0713484071,9780713484076,eng,352,51,5,2/1/2006,Batsford,"Nonfiction;Environment,Nature"
33075,In the Kitchen with Rosie: Oprah's Favorite Recipes,Rosie Daley/Oprah Winfrey,3.04,0679434046,9780679434047,eng,142,767,31,4/16/1994,Knopf,"Food and Drink,Cookbooks;Food and Drink,Cooking;Food and Drink,Food;Nonfiction;Reference;Health"
10261,The Art of Richard P. Feynman,Michelle Feynman,4.31,2884490477,9782884490474,en-US,174,13,2,7/1/1995,Routledge,Science
37034,The Woman in Black,Susan Hill/John Lawrence,3.71,1567921892,9781567921892,eng,138,31467,3061,12/1/2001,David R. Godine Publisher,"Horror;Fiction;Gothic;Classics;Mystery;Historical,Historical Fiction;Paranormal,Ghosts;Fantasy,Paranormal;Horror,Ghost Stories;Historical"
665,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,3.51,0451163931,9780451163936,eng,176,11462,467,11/1/1964,Signet,"Philosophy;Nonfiction;Politics;Psychology;Classics;Writing,Essays;Economics;History;Modern;Contemporary"
40004,Hannibal,Theodore Ayrault Dodge/Ian M. Cuthbertson,4.13,076076896X,9780760768969,eng,592,19,2,7/16/2005,Barnes  Noble,"History;Biography;Nonfiction;History,Ancient History;Military,Military History;War,Military Fiction;War;Classics;Literature,Ancient;Cultural,Africa"
28407,Germinal,Émile Zola/Roger Pearson,4.13,0140447423,9780140447422,eng,592,23134,750,1/29/2004,Penguin Classics,"Classics;Fiction;Cultural,France;European Literature,French Literature;Literature;Historical,Historical Fiction;Literature,19th Century;Novels;Roman;Historical"
10614,Misery,Stephen King,4.16,0450417395,9780450417399,eng,370,429510,7051,11/1/1988,New English Library,"Horror;Fiction;Thriller;Suspense;Mystery;Adult;Thriller,Mystery Thriller;Audiobook;Novels;Mystery,Crime"
5991,混血王子的背叛 (哈利波特  #6),J.K. Rowling/J.K.羅琳/皇冠編譯組/張定綺/彭倩文/趙丕慧/林靜華,4.57,9573321742,9789573321743,zho,735,75,0,10/1/2005,皇冠文化出版有限公司,"Fantasy;Young Adult;Fiction;Fantasy,Magic;Childrens;Adventure;Audiobook;Childrens,Middle Grade;Classics;Science Fiction Fantasy"
2725,Illuminations: Essays and Reflections,Walter Benjamin/Hannah Arendt/Harry Zohn/Leon Wieseltier,4.29,0805202412,9780805202410,eng,288,9254,194,1/13/1969,Schocken,"Philosophy;Writing,Essays;Nonfiction;Philosophy,Theory;Art;Criticism,Literary Criticism;Criticism;History;European Literature,German Literature;Literature"
21282,Dead I Well May Be (Dead Trilogy #1),Adrian McKinty,3.97,0743470567,9780743470568,eng,384,2594,243,8/31/2004,Pocket Books,"Mystery,Crime;Fiction;Mystery;Thriller;Cultural,Ireland;Audiobook;European Literature,Irish Literature;Mystery,Noir;Thriller,Mystery Thriller;Suspense"
8725,Comfort Me with Apples: More Adventures at the Table,Ruth Reichl,4.04,0375758739,9780375758737,eng,302,17939,947,4/9/2002,Random House Trade,"Food and Drink,Food;Autobiography,Memoir;Nonfiction;Food and Drink,Food Writing;Food and Drink,Cooking;Food and Drink,Foodie;Biography;Biography Memoir;Food and Drink,Cookbooks;Food and Drink,Culinary"
33929,Eight Little Piggies: Reflections in Natural History,Stephen Jay Gould,4.09,0393311392,9780393311396,en-US,480,721,17,4/17/1994,W.W. Norton & Company,"Science;Nonfiction;Biology,Evolution;Science,Biology;Writing,Essays;Science,Natural History;History;Environment,Nature;Science,Geology;Science,Popular Science"
15058,I'm Telling You Stories: Jeanette Winterson and the Politics of Reading (Postmodern Studies 25),Helena Grice/Tim Woods,3.7,9042003405,9789042003408,eng,136,10,2,1/1/1998,Brill/Rodopi,Nonfiction
37716,A Christmas Carol and The Night Before Christmas,Charles Dickens/Clement C. Moore/Arthur Rackham,4.35,0517229277,9780517229279,eng,156,91,15,10/3/2006,Gramercy Books,"Classics;Fiction;Holiday,Christmas;Literature"
25244,The Essential Writings,Georg Wilhelm Friedrich Hegel,3.86,0061318310,9780061318313,ger,368,71,6,4/21/1977,Harper Perennial,"Philosophy;Classics;Nonfiction;Anthologies,Collections;Academic"
13275,Poetics of Music in the Form of Six Lessons,Igor Stravinsky/George Seferis/Arthur Knodel/Ingolf Dahl,4.11,0674678567,9780674678569,eng,160,988,31,2/26/1970,Harvard University Press,"Music;Nonfiction;Philosophy;Art;Writing,Essays;Cultural,Russia;Music,Classical Music;Poetry;Philosophy,Theory"
13990,Storm Warning (Valdemar: Mage Storms #1),Mercedes Lackey,4.03,0886776619,9780886776619,eng,428,11193,123,9/1/1995,Daw Books,"Fantasy;Fiction;Science Fiction Fantasy;Fantasy,High Fantasy;Fantasy,Magic;Fantasy,Epic Fantasy;Adult;Adventure;Young Adult;Science Fiction"
9498,Beauty: The Invisible Embrace,John O'Donohue,4.47,0060957263,9780060957261,en-US,261,678,78,3/1/2005,Harper Perennial,"Spirituality;Nonfiction;Poetry;Philosophy;Religion;Self Help;Art;Religion,Faith;Cultural,Ireland;Inspirational"
42158,P.S. Your Cat Is Dead,James Kirkwood Jr.,3.75,0312321201,9780312321208,eng,218,1334,141,11/15/2003,St. Martin's Griffin,"Fiction;Humor;Holiday,Christmas;Plays;LGBT;Novels;LGBT,Gay;Humor,Comedy;Contemporary;LGBT,Queer"
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517149257,9780517149256,eng,815,2877,195,1/17/1996,Wings Books,"Science Fiction;Fiction;Humor;Fantasy;Classics;Humor,Comedy;Science Fiction Fantasy;Adventure;Novels;European Literature,British Literature"
6668,The Enormous Crocodile,Roald Dahl/Quentin Blake,3.78,0142302457,9780142302453,eng,32,13986,525,3/24/2003,Puffin,"Childrens;Fiction;Childrens,Picture Books;Fantasy;Animals;Childrens,Middle Grade;Classics;Humor;Audiobook;Young Adult"
41005,The Right Stuff,Tom Wolfe,4.24,1579124585,9781579124588,eng,304,213,24,5/1/2005,Black Dog & Leventhal,"Nonfiction;History;Science;Space;Biography;North American Hi...,American History;Classics;Aviation;Adventure;Writing,Journalism"
26438,Java: An Introduction to Problem Solving and Programming,Walter J. Savitch,3.85,0131492020,9780131492028,en-US,1060,26,1,12/1/2004,Prentice Hall,"Computer Science,Programming;Textbooks;Science,Technology;Nonfiction;Academic;Science,Computer Science;Computer Science,Computers"
41962,Light a Penny Candle,Maeve Binchy,3.91,009949857X,9780099498575,eng,832,14656,585,5/4/2006,Arrow,"Fiction;Cultural,Ireland;Womens Fiction,Chick Lit;Historical,Historical Fiction;Romance;European Literature,Irish Literature;Adult Fiction;Womens Fiction;Novels;Contemporary"
17730,House of Mirth,Edith Wharton,3.95,1600962203,9781600962202,eng,324,220,11,7/30/2008,Waking Lion Press,"Classics;Fiction;Historical,Historical Fiction;Literature;Literature,American;Novels;New York;Literature,20th Century;Classics,Classic Literature;Historical"
231,I am Charlotte Simmons,Tom Wolfe,3.42,0312424442,9780312424442,eng,738,20888,1688,8/30/2005,Picador USA,"Fiction;Novels;Contemporary;Academic,College;Literary Fiction;Young Adult,Coming Of Age;Literature;Literature,American;Audiobook;Young Adult"
33456,A Dirty Job (Grim Reaper  #1),Christopher Moore,4.07,0060590270,9780060590277,en-US,387,90947,5477,3/21/2006,William Morrow,"Humor;Fiction;Fantasy;Humor,Comedy;Fantasy,Paranormal;Fantasy,Urban Fantasy;Horror;Audiobook;Fantasy,Supernatural;Adult"
1800,Love  Sex & Tragedy: How the Ancient World Shapes Our Lives,Simon Goldhill,3.79,0226301192,9780226301198,eng,345,122,16,11/1/2005,University of Chicago Press,"History;Classics;Nonfiction;History,Ancient History;Philosophy;Sexuality;Literature;Humanities"
31122,I Capture the Castle,Dodie Smith,4.0,0312181108,9780312181109,eng,343,65013,5954,3/31/1998,Wyatt Book,"Classics;Fiction;Young Adult;Historical,Historical Fiction;Romance;Young Adult,Coming Of Age;Historical;European Literature,British Literature;Novels;Audiobook"
44543,Slammerkin,Emma Donoghue,3.71,0156007479,9780156007474,eng,410,12551,1251,5/1/2002,Mariner Books,"Historical,Historical Fiction;Fiction;Historical;European Literature,British Literature;Literary Fiction;Literature,18th Century;Sex Work,Prostitution;Cultural,Canada;Adult;Adult Fiction"
8680,Fierce Invalids Home from Hot Climates,Tom Robbins,4.03,055337933X,9780553379334,en-US,445,24792,1139,5/29/2001,Bantam,"Fiction;Humor;Novels;Literature;Contemporary;Humor,Comedy;Modern;Literature,American;Magical Realism;Literary Fiction"
5845,A Bend in the River,V.S. Naipaul,3.77,0330487140,9780330487146,eng,326,13147,690,5/10/2002,Picador USA,"Fiction;Cultural,Africa;Classics;Literature;Novels;Historical,Historical Fiction;Nobel Prize;Cultural,India;Literary Fiction;Literature,20th Century"
8758,The Beach,Joanna Strange,3.84,0582435676,9780582435674,eng,112,68,9,2/19/2001,Longman,"Fiction;Travel;Thriller;Adventure;Contemporary;Cultural,Asia;Novels;Classics;Mystery;Literature"
288,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,156656249X,9781566562492,eng,464,35,2,4/1/1998,Interlink Publishing Group,Biography;History
6152,Come Away My Beloved,Frances J. Roberts,4.58,1593109156,9781593109158,eng,192,8,0,10/1/2005,Barbour Books,"Christian;Religion,Faith;Religion,Christianity;Nonfiction;Spirituality;Christian,Christian Living;Religion;Inspirational;Christian,Christian Non Fiction;Poetry"
10810,Letters of E.B. White,E.B. White/Dorothy Lobrano Guth/Martha White/John Updike,4.13,0060757086,9780060757083,eng,736,694,39,11/28/2006,Harper,"Nonfiction;Writing,Essays;Biography;Autobiography,Memoir;Classics;Language,Writing;Literature;Biography Memoir;Writing,Books About Books;History"
31999,鋼之鍊金術師 7,Hiromu Arakawa/荒川弘/方郁仁,4.57,9861146156,9789861146157,zho,191,5,0,6/12/2004,東立,"Sequential Art,Manga;Fantasy;Sequential Art,Comics;Sequential Art,Graphic Novels;Fiction;Science Fiction;Young Adult;Science Fiction,Steampunk;Manga,Shonen;Adventure"
42447,Strawberry Girl,Lois Lenski,3.87,0064405850,9780064405850,eng,208,11143,423,4/26/2005,HarperCollins,"Historical,Historical Fiction;Fiction;Childrens;Classics;Young Adult;Childrens,Middle Grade;Historical;Childrens,Juvenile;Academic,School;Family"
40530,Time and Again: Time Was / Times Change,Nora Roberts,3.77,0373484410,9780373484416,eng,505,7574,194,8/24/2001,Silhouette,"Romance;Science Fiction,Time Travel;Fiction;Romance,Contemporary Romance;Fantasy;Science Fiction;Romance,Paranormal Romance;Contemporary;Fantasy,Paranormal;Womens Fiction,Chick Lit"
24137,Catherine  Called Birdy,Karen Cushman,3.71,0060739428,9780060739423,eng,224,33557,1280,6/1/2004,HarperTrophy,"Historical,Historical Fiction;Young Adult;Fiction;Historical;Childrens,Middle Grade;Childrens;Historical,Medieval;Humor;Childrens,Juvenile;European Literature,British Literature"
22363,Batman: Gothic,Grant Morrison/Klaus Janson,3.79,1563890283,9781563890284,eng,128,4294,123,7/1/1998,DC Comics,"Sequential Art,Comics;Dc Comics,Batman;Sequential Art,Graphic Novels;Superheroes,Dc Comics;Graphic Novels Comics;Comics,Comic Book;Comics,Superheroes;Fiction;Horror;Gothic"
8954,Word Freak: Heartbreak  Triumph  Genius  and Obsession in the World of Competitive Scrabble Players,Stefan Fatsis,3.82,0142002267,9780142002261,eng,372,4748,597,7/30/2002,Penguin Books,"Nonfiction;Autobiography,Memoir;Sports and Games,Games;Humanities,Language;Sports,Sports;Biography;Writing,Journalism;History;Biography Memoir;Sociology"
21609,A Separate War and Other Stories,Joe Haldeman/Connie Willis,3.68,0441014070,9780441014071,en-US,270,342,35,8/1/2006,Ace Books,"Science Fiction;Fiction;Short Stories;Science Fiction Fantasy;War;Literature,American;War,Military Fiction;Science Fiction,Military Science Fiction;Novels;Anthologies,Collections"
8927,Sherlock Holmes and the Case of the Hound of the Baskervilles (Great Illustrated Classics),Malvina G. Vogel/Arthur Conan Doyle,4.51,1596792507,9781596792500,en-US,237,33,1,1/1/2005,Abdo Publishing Company,"Mystery;Classics;Fiction;Mystery,Crime;Mystery,Detective;Adventure;Suspense;Thriller,Mystery Thriller;Thriller;Childrens"
